ufn,spp,date,site.id,survey.id,seine.id,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments,licing.protocol,weight,length.lab,length.field
U305,SO,2015-05-16,D06,DE106,DN206,0,0,NA,4,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,13.2,108,NA
U2635,CU,2015-05-16,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_motiles,14.9,NA,NA
U2827,CU,2015-05-16,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA,lab_motiles,14.6,114,NA
U2828,CU,2015-05-16,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA,lab_motiles,17.9,122,NA
U2830,CU,2015-05-16,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,10.7,101,NA
U2912,CU,2015-05-16,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.1,90,NA
U1396,PI,2015-05-16,D07,DE107,DN207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,lab_finescale,7.4,86,NA
U312,SO,2015-05-16,D07,DE107,DN207,1,0,NA,3,6,NA,0,0,0,0,0,0,1,0,0,0,0,0,NA,lab_finescale,12.9,109,NA
U292,SO,2015-05-16,D07,DE107,DN207,1,0,NA,2,4,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,22.5,128,NA
U302,SO,2015-05-16,D07,DE107,DN207,0,0,NA,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9,100,NA
