"","year","spp","site.region","site_id","collection","ufn","all.cal","all.leps","all.lice"
"522","2016","SO","D","D09","16","U4634",0,0,0
"523","2016","CU","D","D22","17","U3623",0,0,0
"524","2016","CU","D","D22","17","U3624",0,0,0
"525","2016","CU","D","D22","17","U3625",0,0,0
"526","2016","CU","D","D22","17","U3626",0,0,0
"527","2016","CU","D","D22","17","U3627",0,0,0
"528","2016","CU","D","D22","17","U3628",0,0,0
"529","2016","CU","D","D22","17","U3629",0,0,0
"530","2016","CU","D","D22","17","U3630",0,0,0
"531","2016","CU","D","D22","17","U3631",0,0,0
"532","2016","CU","D","D22","17","U3632",0,0,0
