seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_comments
DN41,DE384,1,targeted,NA,NA,NA,NA,NA,NA,NA,Yes,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,GM,Seine conducted to obtain fish for Hinch crew. Fish retained for GM
DN123,DE436,1,NA,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,"One set attempted; did not catch SO and school otherwise too small for worthwhile retention (~20 fish in net). Noticed drastic decrease in surface activity following end of site-wide survey, and almost no activity noticed following oceanographic survey. Schools very elusive, in general."
DN61,DE454A,1,targeted,NA,,,,NA,NA,NA,Yes,10,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN62,DE454A,2,targeted,NA,,,,NA,NA,NA,Yes,0,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN63,DE454A,3,targeted,NA,,,,NA,NA,NA,Yes,10,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN64,DE454A,4,targeted,NA,,,,NA,NA,NA,Yes,10,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN65,DE454A,5,targeted,NA,,,,NA,NA,NA,Yes,10,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN69,DE454B,6,targeted,NA,,,,NA,NA,NA,Yes,10,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN70,DE454B,7,targeted,NA,,,,NA,NA,NA,Yes,10,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN71,DE454B,8,targeted,NA,,,,NA,NA,NA,Yes,10,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN73,DE455A,1,targeted,NA,,,,NA,NA,NA,Yes,0,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN74,DE455A,2,targeted,NA,,,,NA,NA,NA,Yes,0,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN75,DE455A,3,targeted,NA,,,,NA,NA,NA,Yes,0,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN76,DE455A,4,targeted,NA,,,,NA,NA,NA,Yes,0,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN77,DE455B,5,targeted,NA,,,,NA,NA,NA,Yes,0,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN78,DE455B,6,targeted,NA,,,,NA,NA,NA,Yes,0,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN79,DE455B,7,targeted,NA,,,,NA,NA,NA,Yes,0,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN80,DE455B,8,targeted,NA,,,,NA,NA,NA,Yes,0,,0,,10,,0,,0,,0,,1,DFO,Sam James' UBC diet study (fish collected by DFO)
DN97A,DE457,1,targeted,NA,04:50:00,50.297141,-125.340397,1,0,10,Yes,2,2,0,10,10,218,0,0,0,1,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN97B,DE457,2,targeted,NA,05:30:00,50.297141,-125.340397,NA,NA,NA,Yes,3,3,0,0,0,200,0,0,0,0,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN97C,DE457,3,targeted,NA,06:25:00,50.297141,-125.340397,NA,NA,NA,Yes,2,2,7,7,0,118,0,0,0,0,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN98,DE458,1,targeted,NA,07:30:00,50.30969,-125.321237,10,0,10,Yes,10,35,10,10,10,875,0,0,0,0,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN99A,DE459,1,targeted,NA,10:55:00,50.30955,-125.306633,1,0,10,Yes,2,2,2,2,10,83,0,0,0,0,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN99B,DE459,2,targeted,NA,11:40:00,50.30955,-125.306633,NA,NA,NA,Yes,8,8,0,0,0,149,0,0,0,1,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN100,DE460,1,targeted,NA,13:50:00,50.29885,-125.337833,1,0,1,Yes,10,10,1,1,10,226,0,0,0,2,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN101,DE461,1,targeted,NA,13:30:00,50.306507,-125.330603,1,0,1,Yes,9,9,5,5,10,480,0,0,0,5,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN102A,DE462,1,targeted,NA,16:30:00,50.308201,-125.327355,1,0,1,Yes,6,6,3,3,10,664,0,0,0,5,0,1,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
